Date,Stream,Reach,Transect,Quadrat,Order,Family,Count,Size
2/26/2022,NM,1,5,2,Ephemeroptera,Heptageniidae,1,medium 
2/26/2022,NM,1,5,2,Ephemeroptera,Baetidae,1,medium 
2/26/2022,NM,1,5,2,Plecoptera,Capniidae,1,medium 
2/26/2022,NM,1,3,1,Ephemeroptera,Heptageniidae,1,medium 
2/26/2022,NM,1,3,1,Plecoptera,Perlidae ,1,medium 
2/26/2022,NM,2,2,1,NA,NA,NA,NA
2/26/2022,NM,4,1,1,Ephemeroptera,Heptageniidae,1,small
2/26/2022,NM,4,1,1,Ephemeroptera,Heptageniidae,1,medium 
2/26/2022,NM,4,1,1,Ephemeroptera,Ephemerellidae,1,medium 
3/10/2022,NM,4,2,1,Plecoptera,Perlidae ,1,large
3/11/2022,NM,5,2,1,NA,NA,NA,NA
3/11/2022,NM,5,1,2,Plecoptera,Perlidae ,1,large
3/11/2022,NM,5,1,2,Ephemeroptera,Heptageniidae,1,medium 
3/11/2022,NM,5,1,2,Ephemeroptera,Heptageniidae,1,medium 
3/11/2022,NM,5,1,2,Ephemeroptera,Ephemeridae,1,small
3/10/2022,NM,4,3,2,NA,NA,NA,NA
3/10/2022,NM,4,1,1,Ephemeroptera,Heptageniidae,1,large 
3/10/2022,NM,4,1,1,Ephemeroptera,Heptageniidae,1,medium
3/10/2022,NM,4,1,1,Plecoptera,Perlodidae,1,medium
3/10/2022,NM,4,1,1,Ephemeroptera,Baetidae,1,medium 
3/10/2022,NM,4,1,1,Ephemeroptera,Baetidae,1,medium 
3/10/2022,NM,1,3,1,Ephemeroptera,Heptageniidae,1,large
3/10/2022,NM,1,3,1,Plecoptera,Perlodidae,1,medium
3/10/2022,NM,1,3,1,Ephemeroptera,Leptophlebiidae,1,medium
3/10/2022,NM,1,3,1,Ephemeroptera,Leptophlebiidae,1,medium
3/10/2022,NM,1,3,1,Trichoptera,Hydropsychidae,1,medium
3/10/2022,NM,1,3,1,Trichoptera,Hydropsychidae,1,medium
